ID,Image,method,edge density,time (ms)
17,airplane_00017.png,Sobel,0.2423469387755102,0.217437744140625
17,airplane_00017.png,Prewitt,0.24156967474489796,0.5166530609130859
17,airplane_00017.png,Canny,0.0,0.31375885009765625
18,airplane_00018.png,Sobel,0.14423230229591838,0.2522468566894531
18,airplane_00018.png,Prewitt,0.14441167091836735,0.5543231964111328
18,airplane_00018.png,Canny,0.0,0.2951622009277344
19,airplane_00019.png,Sobel,0.20543686224489796,0.21505355834960938
19,airplane_00019.png,Prewitt,0.20992107780612246,0.5693435668945312
19,airplane_00019.png,Canny,0.0,0.31638145446777344
20,airplane_00020.png,Sobel,0.24834582270408162,0.4985332489013672
20,airplane_00020.png,Prewitt,0.24906329719387754,1.131296157836914
20,airplane_00020.png,Canny,0.0,0.7441043853759766
21,airplane_00021.png,Sobel,0.22327407525510204,0.5261898040771484
21,airplane_00021.png,Prewitt,0.22580516581632654,0.9965896606445312
21,airplane_00021.png,Canny,0.0,0.3910064697265625
22,airplane_00022.png,Sobel,0.3256935586734694,0.2892017364501953
22,airplane_00022.png,Prewitt,0.3251155931122449,0.6706714630126953
22,airplane_00022.png,Canny,0.0,0.4038810729980469
23,airplane_00023.png,Sobel,0.27200255102040816,0.2639293670654297
23,airplane_00023.png,Prewitt,0.2746731505102041,0.7410049438476562
23,airplane_00023.png,Canny,0.0,0.3542900085449219
24,airplane_00024.png,Sobel,0.09677933673469388,0.23794174194335938
24,airplane_00024.png,Prewitt,0.09771603954081633,0.5445480346679688
24,airplane_00024.png,Canny,0.0003985969387755102,0.385284423828125
25,airplane_00025.png,Sobel,0.3416374362244898,0.34880638122558594
25,airplane_00025.png,Prewitt,0.33639588647959184,0.8194446563720703
25,airplane_00025.png,Canny,0.0015943877551020409,0.43129920959472656
26,airplane_00026.png,Sobel,0.1321747448979592,0.3800392150878906
26,airplane_00026.png,Prewitt,0.13259327168367346,1.0647773742675781
26,airplane_00026.png,Canny,0.002032844387755102,0.3917217254638672
27,airplane_00027.png,Sobel,0.12314652423469388,0.2613067626953125
27,airplane_00027.png,Prewitt,0.12183115433673469,0.5700588226318359
27,airplane_00027.png,Canny,0.0016741071428571428,0.41294097900390625
28,airplane_00028.png,Sobel,0.1328922193877551,0.23484230041503906
28,airplane_00028.png,Prewitt,0.13291214923469388,0.5245208740234375
28,airplane_00028.png,Canny,0.0,0.3178119659423828
29,airplane_00029.png,Sobel,0.12486049107142858,0.26535987854003906
29,airplane_00029.png,Prewitt,0.12460140306122448,0.5946159362792969
29,airplane_00029.png,Canny,0.0,0.3159046173095703
30,airplane_00030.png,Sobel,0.3147520727040816,0.2067089080810547
30,airplane_00030.png,Prewitt,0.3176219706632653,0.5707740783691406
30,airplane_00030.png,Canny,0.0,0.26702880859375
